filter	kept_phantom	phantom_drop_pct	kept_signal	signal_drop_pct	kept_total
r2 < 0.999	0	100.0	6363	0.0	264929
sd > 0.05	0	100.0	6362	0.015715857300015717	262183
sd > 0.05 AND r2 < 0.999	0	100.0	6362	0.015715857300015717	262183
amplitude > 1e-4	22127	0.0	6363	0.0	287056
sd > 0.1 (broader)	0	100.0	5710	10.262454816910262	244268
(sd > 0.05) OR (srf_size > 0.5)	0	100.0	6363	0.0	264929
(sd > 0.1) AND (amplitude != 0)	0	100.0	5710	10.262454816910262	244268
