subject	roi	cls	cv_r2_median	cv_r2_mean
1	V1	signed-control	0.3869580924510956	0.37832191586494446
1	V2	signed-control	0.30438297986984253	0.3080536425113678
1	V3	signed-control	0.276328980922699	0.2913128137588501
2	LO	signed-control	0.09732699394226074	0.14053799211978912
2	TO	signed-control	0.013365072198212147	0.028776491060853004
2	V3AB	signed-control	0.023635242134332657	0.03792661428451538
2	VO	signed-control	0.007154468446969986	0.013189408928155899
2	hV4	signed-control	0.020463887602090836	0.04031065106391907
3	VO	signed-control	0.0210702046751976	0.04031916335225105
4	LO	signed-control	0.044529713690280914	0.09702220559120178
4	V1	signed-control	0.3268904685974121	0.3227775990962982
4	V2	signed-control	0.2846136689186096	0.2873174548149109
4	V3AB	signed-control	0.02404334396123886	0.04002610594034195
4	V3	signed-control	0.19425633549690247	0.21205401420593262
4	hV4	signed-control	0.03727644681930542	0.06757630407810211
5	LO	signed-control	0.11550497263669968	0.16246835887432098
5	TO	signed-control	0.020644143223762512	0.039514388889074326
5	VO	signed-control	0.01574685052037239	0.031059280037879944
6	V1	signed-control	0.16843019425868988	0.21223929524421692
6	V2	signed-control	0.12468551099300385	0.17234820127487183
7	LO	signed-control	0.08892672508955002	0.12011831998825073
7	V2	signed-control	0.07591499388217926	-2.2609424591064453
7	V3AB	signed-control	0.047838300466537476	0.07886958867311478
7	V3	signed-control	0.21041688323020935	0.23273710906505585
7	hV4	signed-control	0.03150162845849991	-0.03095838986337185
8	LO	signed-control	0.02128126472234726	0.05451023206114769
8	TO	signed-control	0.005595196038484573	0.012433979660272598
8	VO	signed-control	0.00597746204584837	0.010671591386198997
9	V1	signed-control	0.32675665616989136	0.3183899521827698
9	V2	signed-control	0.32757705450057983	0.3307332694530487
9	V3AB	signed-control	0.09217385202646255	0.11823686212301254
9	V3	signed-control	0.2798278033733368	0.3007739186286926
9	hV4	signed-control	0.14100497961044312	0.1586076319217682
10	hV4	signed-control	0.039941608905792236	0.07030274718999863
11	LO	signed-control	0.09242446720600128	0.14791616797447205
11	TO	signed-control	0.0140600660815835	0.03354748338460922
11	VO	signed-control	0.00854925811290741	0.014971129596233368
11	hV4	signed-control	0.024798698723316193	0.06358128786087036
12	V1	signed-control	0.13869071006774902	0.17684520781040192
12	V2	signed-control	0.1594664305448532	0.19025740027427673
12	V3AB	signed-control	0.06962669640779495	0.09742974489927292
12	V3	signed-control	0.23605166375637054	0.2536187171936035
12	hV4	signed-control	0.08300254493951797	0.12495105713605881
13	LO	signed-control	0.05981810390949249	0.12289337068796158
13	TO	signed-control	0.04170772060751915	0.0726131871342659
13	VO	signed-control	0.009988438338041306	0.020030710846185684
13	hV4	signed-control	0.036146268248558044	0.06762359291315079
14	VO	signed-control	0.005023164674639702	0.012000728398561478
15	V1	signed-control	0.2372545599937439	0.26165613532066345
15	V2	signed-control	0.22371003031730652	0.25842946767807007
15	V3AB	signed-control	0.026711776852607727	0.0451115258038044
15	V3	signed-control	0.20805370807647705	0.22788208723068237
15	hV4	signed-control	0.027050461620092392	0.059896815568208694
16	LO	signed-control	0.010842496529221535	0.03846501186490059
16	TO	signed-control	0.013224601745605469	0.030981190502643585
16	VO	signed-control	0.002934633521363139	0.004205826669931412
16	hV4	signed-control	0.020707713440060616	0.038530878722667694
17	V1	signed-control	0.26844751834869385	0.29142528772354126
18	V1	signed-control	0.14937469363212585	0.18656471371650696
18	V2	signed-control	0.13441058993339539	0.17175818979740143
18	V3AB	signed-control	0.04839937388896942	0.07848460227251053
18	V3	signed-control	0.11018317937850952	0.1549064964056015
18	hV4	signed-control	0.016945891082286835	0.029518840834498405
19	LO	signed-control	0.029008638113737106	0.06322877109050751
19	TO	signed-control	0.012440646067261696	0.02536138705909252
19	VO	signed-control	0.01450505293905735	0.02043248899281025
19	hV4	signed-control	0.02534964308142662	0.055193688720464706
20	VO	signed-control	0.001974848099052906	0.007156936917454004
21	V1	signed-control	0.22023659944534302	0.24096116423606873
21	V2	signed-control	0.23572787642478943	0.2469121813774109
21	V3AB	signed-control	0.043189793825149536	0.06038949638605118
21	V3	signed-control	0.2395581305027008	0.24587787687778473
21	hV4	signed-control	0.05336470529437065	0.08326561748981476
22	LO	signed-control	0.008717464283108711	0.02658076211810112
22	TO	signed-control	0.0017477814108133316	0.010592152364552021
22	VO	signed-control	0.002526178490370512	0.015126298181712627
22	hV4	signed-control	0.02787390537559986	0.06880620121955872
23	V1	signed-control	0.1676316112279892	0.21859177947044373
23	V2	signed-control	0.275741308927536	0.2813194692134857
23	V3AB	signed-control	0.04814717546105385	0.06687211245298386
23	V3	signed-control	0.21996398270130157	0.2382054626941681
24	LO	signed-control	0.13273710012435913	0.17904901504516602
24	TO	signed-control	0.03914067894220352	0.06251117587089539
24	V3AB	signed-control	0.04609384387731552	0.07436373084783554
24	VO	signed-control	0.027864651754498482	0.041426774114370346
24	hV4	signed-control	0.04579116404056549	0.074212945997715
25	LO	signed-control	0.0035942252725362778	0.014068747870624065
25	V1	signed-control	0.0004238403053022921	0.03558091074228287
25	V2	signed-control	0.0010089323623105884	0.014681550674140453
25	V3AB	signed-control	0.0033156918361783028	0.0114537812769413
25	V3	signed-control	0.004330126568675041	0.028208903968334198
25	hV4	signed-control	0.006550311576575041	0.02676604874432087
26	LO	signed-control	0.022800497710704803	0.05489441007375717
26	TO	signed-control	0.018254490569233894	0.03775923326611519
26	VO	signed-control	-1.636520028114319e-05	-0.0032740433234721422
27	LO	signed-control	0.024317320436239243	0.050181563943624496
27	TO	signed-control	0.014465135522186756	0.034901510924100876
27	V1	signed-control	0.2668285369873047	0.2692842483520508
27	V2	signed-control	0.19822946190834045	0.1981727033853531
27	V3AB	signed-control	0.017591919749975204	0.037020158022642136
27	V3	signed-control	0.1276683211326599	0.15201352536678314
27	VO	signed-control	0.004431313835084438	0.007096633315086365
27	hV4	signed-control	0.01727190986275673	0.03279544785618782
28	V1	signed-control	0.0317385159432888	0.08593182265758514
28	V2	signed-control	0.07122460007667542	0.10565492510795593
29	LO	signed-control	0.05217831954360008	0.09497731178998947
29	TO	signed-control	0.02253914251923561	0.041614629328250885
29	V2	signed-control	0.14194923639297485	0.17743529379367828
29	V3AB	signed-control	0.010940557345747948	0.018437737599015236
29	V3	signed-control	0.13069145381450653	0.16984257102012634
29	hV4	signed-control	0.018084324896335602	0.029327858239412308
30	TO	signed-control	0.021796120330691338	0.038943223655223846
30	VO	signed-control	0.013012432493269444	0.02075030282139778
1	LO	sus-minus-minus_dyn-minus-minus	0.12586653232574463	0.15849992632865906
1	TO	sus-minus-minus_dyn-minus-minus	0.03744572401046753	0.057603415101766586
1	V1	sus-minus-minus_dyn-minus-minus	0.3862417936325073	0.3776476979255676
1	V2	sus-minus-minus_dyn-minus-minus	0.3037978708744049	0.3084079325199127
1	V3AB	sus-minus-minus_dyn-minus-minus	0.0688154324889183	0.08731117099523544
1	V3	sus-minus-minus_dyn-minus-minus	0.2760895788669586	0.29168546199798584
1	VO	sus-minus-minus_dyn-minus-minus	0.011742476373910904	0.019986137747764587
1	hV4	sus-minus-minus_dyn-minus-minus	0.040651217103004456	0.06417940557003021
2	LO	sus-minus-minus_dyn-minus-minus	0.09448452293872833	0.13904140889644623
2	TO	sus-minus-minus_dyn-minus-minus	0.013186510652303696	0.02821403183043003
2	V1	sus-minus-minus_dyn-minus-minus	0.09279297292232513	0.16889217495918274
2	V2	sus-minus-minus_dyn-minus-minus	0.1563119739294052	0.20498904585838318
2	V3AB	sus-minus-minus_dyn-minus-minus	0.023759745061397552	0.039189551025629044
2	V3	sus-minus-minus_dyn-minus-minus	0.11125670373439789	0.15714441239833832
2	VO	sus-minus-minus_dyn-minus-minus	0.0073335375636816025	0.013617885299026966
2	hV4	sus-minus-minus_dyn-minus-minus	0.021960854530334473	0.04113684222102165
3	LO	sus-minus-minus_dyn-minus-minus	0.15389865636825562	0.1968560516834259
3	TO	sus-minus-minus_dyn-minus-minus	0.04139643907546997	0.06588316708803177
3	V1	sus-minus-minus_dyn-minus-minus	0.2614569365978241	0.28717437386512756
3	V2	sus-minus-minus_dyn-minus-minus	0.18232297897338867	0.2242039442062378
3	V3AB	sus-minus-minus_dyn-minus-minus	0.05647328495979309	0.09270860254764557
3	V3	sus-minus-minus_dyn-minus-minus	0.23189328610897064	0.2663404047489166
3	VO	sus-minus-minus_dyn-minus-minus	0.02169373445212841	0.04193742945790291
3	hV4	sus-minus-minus_dyn-minus-minus	0.03734087198972702	0.06761077791452408
4	LO	sus-minus-minus_dyn-minus-minus	0.04466743767261505	0.0974070131778717
4	TO	sus-minus-minus_dyn-minus-minus	0.005333296023309231	0.019199959933757782
4	V1	sus-minus-minus_dyn-minus-minus	0.3265732526779175	0.32503923773765564
4	V2	sus-minus-minus_dyn-minus-minus	0.28686606884002686	0.28817713260650635
4	V3AB	sus-minus-minus_dyn-minus-minus	0.023209676146507263	0.04000424966216087
4	V3	sus-minus-minus_dyn-minus-minus	0.19505144655704498	0.2129584401845932
4	VO	sus-minus-minus_dyn-minus-minus	0.005550929345190525	0.013630836270749569
4	hV4	sus-minus-minus_dyn-minus-minus	0.03748941048979759	0.06807505339384079
5	TO	sus-minus-minus_dyn-minus-minus	0.021159037947654724	0.03988092765212059
5	V1	sus-minus-minus_dyn-minus-minus	0.2591981887817383	0.26476866006851196
5	V2	sus-minus-minus_dyn-minus-minus	0.26115092635154724	0.25520193576812744
5	V3AB	sus-minus-minus_dyn-minus-minus	0.044093988835811615	0.06007780879735947
5	V3	sus-minus-minus_dyn-minus-minus	0.1905827820301056	0.2218688428401947
5	VO	sus-minus-minus_dyn-minus-minus	0.015167707577347755	0.02900639921426773
5	hV4	sus-minus-minus_dyn-minus-minus	0.061397794634103775	0.09219667315483093
6	LO	sus-minus-minus_dyn-minus-minus	0.030193962156772614	0.07519298791885376
6	TO	sus-minus-minus_dyn-minus-minus	0.00845835916697979	0.02255227416753769
6	V1	sus-minus-minus_dyn-minus-minus	0.17136982083320618	0.21337325870990753
6	V2	sus-minus-minus_dyn-minus-minus	0.12603241205215454	0.17276300489902496
6	V3AB	sus-minus-minus_dyn-minus-minus	0.006482324562966824	0.012102891691029072
6	V3	sus-minus-minus_dyn-minus-minus	0.1146460548043251	0.14741244912147522
6	VO	sus-minus-minus_dyn-minus-minus	0.005359664559364319	0.00852116011083126
6	hV4	sus-minus-minus_dyn-minus-minus	0.013983851298689842	0.028668023645877838
7	LO	sus-minus-minus_dyn-minus-minus	0.09424345195293427	0.13423076272010803
7	TO	sus-minus-minus_dyn-minus-minus	0.01339723914861679	0.03786124289035797
7	V1	sus-minus-minus_dyn-minus-minus	0.3261093199253082	0.3237461447715759
7	V2	sus-minus-minus_dyn-minus-minus	0.13208170235157013	-0.04034636542201042
7	V3AB	sus-minus-minus_dyn-minus-minus	0.04857579618692398	0.07990121096372604
7	V3	sus-minus-minus_dyn-minus-minus	0.21209776401519775	0.23497024178504944
7	VO	sus-minus-minus_dyn-minus-minus	0.013123155571520329	0.021916186437010765
7	hV4	sus-minus-minus_dyn-minus-minus	0.047130994498729706	0.0316840223968029
8	LO	sus-minus-minus_dyn-minus-minus	0.021351324394345284	0.05450930818915367
8	TO	sus-minus-minus_dyn-minus-minus	0.0055305371060967445	0.012895779684185982
8	V1	sus-minus-minus_dyn-minus-minus	0.25970080494880676	0.2795652449131012
8	V2	sus-minus-minus_dyn-minus-minus	0.18719947338104248	0.20785830914974213
8	V3AB	sus-minus-minus_dyn-minus-minus	0.014696815982460976	0.02387365698814392
8	V3	sus-minus-minus_dyn-minus-minus	0.16044214367866516	0.2001163363456726
8	VO	sus-minus-minus_dyn-minus-minus	0.005233078263700008	0.010003538802266121
8	hV4	sus-minus-minus_dyn-minus-minus	0.014736015349626541	0.02463870495557785
9	LO	sus-minus-minus_dyn-minus-minus	0.3178699314594269	0.3207636773586273
9	TO	sus-minus-minus_dyn-minus-minus	0.0378936231136322	0.06976338475942612
9	V1	sus-minus-minus_dyn-minus-minus	0.3279918134212494	0.31934654712677
