subject	roi	sigma_AF	g_HP	g_LP	g_HP_dyn	g_LP_dyn	g_diff_sus	g_diff_dyn	r2_mean
1	LO	7.155761241912842	-0.4609631299972534	0.2044852077960968	0.2928333878517151	0.6977817416191101	-0.6654483377933502	-0.404948353767395	0.1254662722349167
1	TO	0.9195061326026917	4.059281349182129	4.993858814239502	-1.7192885875701904	-1.2719050645828247	-0.934577465057373	-0.4473835229873657	0.06052592024207115
1	V1	6.328159332275391	0.2297358214855194	0.1277782917022705	0.048344213515520096	0.15932594239711761	0.1019575297832489	-0.11098172888159752	0.2303287237882614
1	V2	1.4613653421401978	1.2197670936584473	1.3799012899398804	0.2045811265707016	-0.32632017135620117	-0.1601341962814331	0.5309012979269028	0.20513591170310974
1	V3AB	10.732142448425293	0.3506062924861908	0.025937844067811966	1.1391690969467163	1.7304712533950806	0.32466844841837883	-0.5913021564483643	0.056854866445064545
1	V3	6.238812446594238	-0.13010072708129883	0.1401270180940628	0.16373635828495026	0.30541589856147766	-0.27022774517536163	-0.1416795402765274	0.18876305222511292
1	VO	0.9964162707328796	6.577429294586182	7.0261664390563965	-3.7784311771392822	7.122555255889893	-0.44873714447021484	-10.900986433029175	0.026571672409772873
1	hV4	1.0515822172164917	3.8715384006500244	3.3609795570373535	-5.413152694702148	0.6018205285072327	0.5105588436126709	-6.014973223209381	0.061256252229213715
2	LO	5.120728015899658	-0.0270339697599411	0.028236232697963715	0.8437623381614685	0.5122094750404358	-0.055270202457904816	0.3315528631210327	0.10626761615276337
2	TO	1.930991291999817	2.09116268157959	2.500000476837158	3.8071820735931396	1.7078793048858643	-0.40883779525756836	2.0993027687072754	0.03242616727948189
2	V1	2.6506941318511963	0.11155957728624344	0.18224571645259857	0.5284758806228638	0.11346914619207382	-0.07068613916635513	0.41500673443078995	0.1290936917066574
2	V2	3.4837164878845215	0.011429944075644016	0.08632401376962662	0.482037752866745	0.17406988143920898	-0.0748940696939826	0.307967871427536	0.1518682986497879
2	V3AB	10.274079322814941	0.0059561715461313725	0.16559940576553345	2.437990665435791	1.916526198387146	-0.15964323421940207	0.521464467048645	0.04022987559437752
2	V3	7.800473213195801	-0.23278743028640747	0.1549668163061142	0.43556123971939087	0.2791275978088379	-0.38775424659252167	0.15643364191055298	0.10831724852323532
2	VO	8.646031379699707	0.4752778112888336	0.1147732138633728	3.5251827239990234	2.958695650100708	0.3605045974254608	0.5664870738983154	0.020065760239958763
2	hV4	1.82343590259552	1.4341248273849487	2.275869846343994	5.8813018798828125	2.8146064281463623	-0.8417450189590454	3.06669545173645	0.04361521825194359
3	LO	3.8079912662506104	0.22480526566505432	-0.00778287323191762	-0.46109738945961	-0.4611380994319916	0.23258813889697194	4.07099723815918e-05	0.15505631268024445
3	TO	1.2501165866851807	-0.6565133929252625	-0.9585546255111694	-1.180397391319275	2.443485975265503	0.302041232585907	-3.623883366584778	0.05765131488442421
3	V1	1.59071946144104	0.255747526884079	0.33030498027801514	0.6252027750015259	0.39466020464897156	-0.07455745339393616	0.23054257035255432	0.16693438589572906
3	V2	1.2811148166656494	0.8499410152435303	1.1007102727890015	-0.06805077195167542	-1.2535333633422852	-0.2507692575454712	1.1854825913906097	0.1392575353384018
3	V3AB	9.76589584350586	0.11860251426696777	-0.015644527971744537	0.37013837695121765	0.5536521673202515	0.1342470422387123	-0.1835137903690338	0.0650133267045021
3	V3	1.1260842084884644	0.6128063797950745	0.7105293273925781	-0.6187407374382019	-1.190247654914856	-0.09772294759750366	0.571506917476654	0.16205109655857086
3	VO	9.858773231506348	0.2612541913986206	-0.09326405823230743	0.7515219449996948	1.3099230527877808	0.35451824963092804	-0.5584011077880859	0.048477835953235626
3	hV4	1.2375478744506836	0.6588212847709656	1.2697991132736206	0.1593925654888153	0.1784607172012329	-0.610977828502655	-0.019068151712417603	0.07560773938894272
4	LO	8.2177095413208	-0.4372794032096863	0.1648106724023819	0.31761208176612854	0.04602101817727089	-0.6020900756120682	0.27159106358885765	0.08563623577356339
4	TO	8.428829193115234	0.5567340850830078	-0.18611322343349457	0.8879971504211426	0.0974937155842781	0.7428473085165024	0.7905034348368645	0.030117860063910484
4	V1	10.058439254760742	-5.4222331047058105	2.072687864303589	-2.508692979812622	-2.40676212310791	-7.494920969009399	-0.10193085670471191	0.15529626607894897
4	V2	5.569679260253906	0.023708729073405266	0.0728752389550209	-0.16855673491954803	-0.16821619868278503	-0.04916650988161564	-0.0003405362367630005	0.1839406043291092
4	V3AB	8.829056739807129	-0.21082554757595062	0.04350431635975838	0.933069109916687	0.5729544162750244	-0.254329863935709	0.3601146936416626	0.03128666430711746
4	V3	7.062602996826172	-0.2167227566242218	0.11282137781381607	0.1407751739025116	-0.047600723803043365	-0.3295441344380379	0.18837589770555496	0.13537286221981049
4	VO	8.084985733032227	0.5961934328079224	-0.289564311504364	3.116126775741577	3.190502405166626	0.8857577443122864	-0.07437562942504883	0.022880688309669495
4	hV4	8.556583404541016	0.10938429087400436	0.011000794358551502	0.517535924911499	0.4531255066394806	0.09838349651545286	0.06441041827201843	0.05591316893696785
5	LO	1.853427767753601	-0.2712620794773102	0.23922571539878845	2.1119179725646973	0.6046888828277588	-0.5104877948760986	1.5072290897369385	0.09665843099355698
5	TO	2.487457275390625	0.16486875712871552	0.3480905592441559	0.9054877161979675	0.705414354801178	-0.18322180211544037	0.20007336139678955	0.039841651916503906
5	V1	1.493351936340332	0.10581745952367783	0.3691689670085907	0.7002764940261841	-0.6386463046073914	-0.2633515074849129	1.3389227986335754	0.14340390264987946
5	V2	2.0998423099517822	0.013815443031489849	0.15299010276794434	0.7123827338218689	-0.5453194379806519	-0.1391746597364545	1.2577021718025208	0.17589257657527924
