subject	roi	mode	n_voxels	sigma_AF	g_HP	g_LP	g_diff	g_avg	log_ratio	r2_mean	r2_med
1	V1	signed	901	4.2657952308654785	0.25466489791870117	0.19772884249687195	0.056936055421829224	0.22619687020778656	0.046441391066898534	0.23028284311294556	0.1989600658416748
2	V1	signed	669	2.373703718185425	0.2324080616235733	0.24457761645317078	-0.012169554829597473	0.23849283903837204	-0.00982617933984423	0.12897837162017822	0.043712735176086426
3	V1	signed	877	1.5273905992507935	0.3605002462863922	0.3797511160373688	-0.019250869750976562	0.3701256811618805	-0.014050671938882606	0.16692772507667542	0.045522987842559814
4	V1	signed	1140	9.010232925415039	-3.886272430419922	1.3317257165908813	-5.217998147010803	-1.2772733569145203	-3.8423409178824546	0.16378018260002136	0.09381771087646484
5	V1	signed	949	1.4232428073883057	0.22118043899536133	0.3955307602882385	-0.1743503212928772	0.3083555996417999	-0.1334568523414032	0.14328403770923615	0.05803292989730835
6	V1	signed	885	1.4729108810424805	0.7314444780349731	0.3691547214984894	0.36228975653648376	0.5502995997667313	0.2347624607121085	0.12787358462810516	0.040441691875457764
7	V1	signed	969	1.6783004999160767	-0.4814715087413788	0.6728421449661255	-1.1543136537075043	0.09568531811237335	-1.1712843665120958	0.18083053827285767	0.0813741683959961
8	V1	signed	1425	0.9822194576263428	1.4140625	1.4224783182144165	-0.008415818214416504	1.4182704091072083	-0.003480101595115405	0.11102387309074402	0.021156787872314453
9	V1	signed	1027	8.55754280090332	0.2659182548522949	-0.07779214531183243	0.34371040016412735	0.09406305477023125	0.31678239391915636	0.17617765069007874	0.09104913473129272
10	V1	signed	994	4.264045715332031	0.17821544408798218	0.11061300337314606	0.06760244071483612	0.14441422373056412	0.05908884004672833	0.1735696792602539	0.11397406458854675
11	V1	signed	803	6.385569095611572	-0.1376115083694458	0.13275951147079468	-0.2703710198402405	-0.0024259984493255615	-0.2727061248266494	0.16513681411743164	0.06685912609100342
12	V1	signed	755	2.165433883666992	0.5183609127998352	0.21851304173469543	0.29984787106513977	0.3684369772672653	0.2200001090498239	0.13746576011180878	0.04901599884033203
13	V1	signed	1533	2.3552165031433105	0.11652866750955582	0.1494758129119873	-0.03294714540243149	0.13300224021077156	-0.029081555403508805	0.10253989696502686	0.012858033180236816
14	V1	signed	1111	7.3081769943237305	0.5759902596473694	-0.17532534897327423	0.7513156086206436	0.20033245533704758	0.6476501438103941	0.13583876192569733	0.02801346778869629
15	V1	signed	1200	1.5483378171920776	0.40463370084762573	0.3543469309806824	0.05028676986694336	0.37949031591415405	0.03645718926321751	0.11899276822805405	0.021750926971435547
16	V1	signed	804	2.2608025074005127	-0.05465390905737877	0.38729149103164673	-0.4419454000890255	0.16631879098713398	-0.38355746334573254	0.1157420352101326	0.05664840340614319
17	V1	signed	1227	1.5762594938278198	0.24654798209667206	0.26461225748062134	-0.01806427538394928	0.2555801197886467	-0.014387442668666378	0.13110527396202087	0.019028306007385254
18	V1	signed	762	1.1735608577728271	0.7626099586486816	0.9266881346702576	-0.16407817602157593	0.8446490466594696	-0.0890068948724957	0.110036201775074	0.03471183776855469
19	V1	signed	460	6.081827163696289	-0.04771041497588158	0.10013100504875183	-0.1478414200246334	0.026210295036435127	-0.14431537270811792	0.13502876460552216	0.056592732667922974
20	V1	signed	1486	7.782803058624268	0.20601382851600647	-0.046129800379276276	0.25214362889528275	0.0799420140683651	0.2345482405589406	0.05588850751519203	0.012868493795394897
21	V1	signed	916	2.310120105743408	0.015619762241840363	0.2115384340286255	-0.19591867178678513	0.11357909813523293	-0.17639195575817163	0.1453181505203247	0.04422640800476074
22	V1	signed	346	0.8462552428245544	1.3946208953857422	4.048140048980713	-2.6535191535949707	2.7213804721832275	-0.7457949400061461	0.041973572224378586	0.008564412593841553
23	V1	signed	963	1.025987982749939	1.153457760810852	1.1333526372909546	0.02010512351989746	1.1434051990509033	0.009380060728568104	0.12112151086330414	0.015629351139068604
24	V1	signed	911	1.8368844985961914	0.675397515296936	0.01633339747786522	0.6590641178190708	0.3458654563874006	0.49984901723413816	0.14672234654426575	0.04432719945907593
25	V1	signed	392	1.610105276107788	0.27402687072753906	0.4770468771457672	-0.20302000641822815	0.37553687393665314	-0.14786209257627014	0.04475250840187073	0.007051348686218262
26	V1	signed	1078	1.469088077545166	0.30885598063468933	0.45715588331222534	-0.148299902677536	0.38300593197345734	-0.10733305228149392	0.11197605729103088	0.04883846640586853
27	V1	signed	877	4.48370361328125	0.05448078736662865	0.034184496849775314	0.020296290516853333	0.04433264210820198	0.019435310717230692	0.16064704954624176	0.08201658725738525
28	V1	signed	620	1.2823110818862915	2.3503129482269287	2.2416880130767822	0.10862493515014648	2.2960004806518555	0.03295957302946418	0.06568457186222076	0.012880831956863403
29	V1	signed	466	2.0197346210479736	0.3790554702281952	0.40817415714263916	-0.02911868691444397	0.3936148136854172	-0.020895118270952057	0.14864860475063324	0.06620258092880249
30	V1	signed	835	2.310023307800293	0.20843839645385742	0.22921891510486603	-0.020780518651008606	0.21882865577936172	-0.017049994650280918	0.15524551272392273	0.07695966958999634
1	V2	signed	821	1.4551323652267456	1.2588459253311157	1.3890308141708374	-0.13018488883972168	1.3239383697509766	-0.05603373626735765	0.20513398945331573	0.17618316411972046
2	V2	signed	671	3.806617498397827	0.06437161564826965	0.08491785824298859	-0.020546242594718933	0.07464473694562912	-0.019119684669326748	0.15161514282226562	0.08254075050354004
3	V2	signed	806	1.2641088962554932	0.8564634323120117	1.0734049081802368	-0.2169414758682251	0.9649341702461243	-0.110518841788216	0.1392536461353302	0.05401110649108887
4	V2	signed	980	3.3606913089752197	0.0496559776365757	0.0940527394413948	-0.04439676180481911	0.07185435853898525	-0.04142644059923572	0.18386809527873993	0.14502409100532532
5	V2	signed	741	2.195258617401123	0.09098602831363678	0.1279555708169937	-0.036969542503356934	0.10947079956531525	-0.033324864269610524	0.17573505640029907	0.12425035238265991
6	V2	signed	847	4.296764373779297	-0.013078308664262295	0.07559449225664139	-0.08867280092090368	0.03125809179618955	-0.08603810755690947	0.1125246211886406	0.04421442747116089
7	V2	signed	776	1.2100129127502441	-4.256366729736328	2.6502609252929688	-6.906627655029297	-0.8030529022216797	-4.2905309249749966	0.1239696592092514	0.054217010736465454
8	V2	signed	1039	1.1494147777557373	0.33083030581474304	0.7588083148002625	-0.4279780089855194	0.5448193103075027	-0.27883344832305323	0.10576725751161575	0.0321962833404541
9	V2	signed	822	2.222968101501465	0.028187090530991554	0.0197462048381567	0.008440885692834854	0.023966647684574127	0.008243367604374796	0.22506031394004822	0.19930794835090637
10	V2	signed	805	4.094262599945068	0.022344782948493958	0.16097299754619598	-0.13862821459770203	0.09165889024734497	-0.12715964862336698	0.17019636929035187	0.13210129737854004
11	V2	signed	574	2.5854685306549072	0.16299794614315033	0.12254393100738525	0.040454015135765076	0.1427709385752678	0.035403630912598634	0.15774334967136383	0.09739914536476135
12	V2	signed	721	2.8097918033599854	0.35089048743247986	0.05529623478651047	0.2955942526459694	0.20309336110949516	0.24694247653645485	0.14751195907592773	0.07726985216140747
13	V2	signed	983	1.8712782859802246	0.0834469348192215	0.30239138007164	-0.21894444525241852	0.19291915744543076	-0.18405453266301758	0.1221248060464859	0.03229564428329468
14	V2	signed	1097	3.7830393314361572	0.0579657219350338	0.058724068105220795	-0.0007583461701869965	0.058344895020127296	-0.0007165397652519965	0.1502140611410141	0.0684390664100647
15	V2	signed	976	1.9062016010284424	0.03175319731235504	0.3500123918056488	-0.31825919449329376	0.19088279455900192	-0.2688542829561587	0.14445830881595612	0.042683303356170654
16	V2	signed	751	4.171636581420898	-0.10059129446744919	0.07862184941768646	-0.17921314388513565	-0.010984722524881363	-0.181701886343037	0.14190413057804108	0.0875251293182373
17	V2	signed	861	2.0527234077453613	-0.01904580555856228	0.21559318900108337	-0.23463899455964565	0.09827369172126055	-0.21446169227844916	0.16757483780384064	0.0729859471321106
18	V2	signed	780	1.3695859909057617	0.48757052421569824	1.1873897314071655	-0.6998192071914673	0.8374801278114319	-0.38556466092828506	0.1004486083984375	0.04081076383590698
19	V2	signed	739	2.278752565383911	0.21100690960884094	0.28882700204849243	-0.07782009243965149	0.2499169558286667	-0.06228033371153087	0.12965106964111328	0.08046621084213257
20	V2	signed	1052	2.567963123321533	0.08823441714048386	0.032017145305871964	0.05621727183461189	0.06012578122317791	0.05304130156698557	0.0561923012137413	0.014322638511657715
21	V2	signed	721	2.795205593109131	0.08544580638408661	0.16599895060062408	-0.08055314421653748	0.12572237849235535	-0.07158740386469237	0.18893487751483917	0.13682258129119873
22	V2	signed	342	6.292198181152344	-0.37312808632850647	0.13377270102500916	-0.5069007873535156	-0.11967769265174866	-0.5925637888351574	0.05759366974234581	0.011862516403198242
23	V2	signed	929	4.389392852783203	0.013702142052352428	0.04773806780576706	-0.03403592575341463	0.030720104929059744	-0.03302450285314969	0.16852299869060516	0.07798486948013306
24	V2	signed	643	1.314416766166687	0.466837078332901	0.15063004195690155	0.31620703637599945	0.3087335601449013	0.2427987803545587	0.15784095227718353	0.07450097799301147
