subject	roi	distractor	n_trials	n_voxels	mean_beta	sem_beta
1	V1	lower_left	120	2651	0.7102301120758057	0.05905619389967299
1	V1	lower_right	168	2651	0.5972176790237427	0.040107911059126984
1	V1	no_distractor	144	2651	0.703339159488678	0.046816080808639526
1	V1	upper_left	72	2651	0.5559871196746826	0.0700227951894236
1	V1	upper_right	216	2651	0.5802791118621826	0.03817334362534285
1	V2	lower_left	120	2116	0.2869463264942169	0.04244509782390225
1	V2	lower_right	168	2116	0.19249756634235382	0.03013435176046611
1	V2	no_distractor	144	2116	0.2071770280599594	0.03773233791192373
1	V2	upper_left	72	2116	0.20807303488254547	0.051113481652228086
1	V2	upper_right	216	2116	0.17467668652534485	0.031169857759760538
1	V3	lower_left	120	1606	0.2568551003932953	0.04533123076548236
1	V3	lower_right	168	1606	0.1331121027469635	0.03451924618616608
1	V3	no_distractor	144	1606	0.1285533607006073	0.04049579302469889
1	V3	upper_left	72	1606	0.15849865972995758	0.06121746857405287
1	V3	upper_right	216	1606	0.1386832296848297	0.03417246293172751
1	V3AB	lower_left	120	1516	0.5010626316070557	0.05111378039331237
1	V3AB	lower_right	168	1516	0.3702530264854431	0.038219611681024446
1	V3AB	no_distractor	144	1516	0.4393117129802704	0.04133146752913793
1	V3AB	upper_left	72	1516	0.49517524242401123	0.06473868322869353
1	V3AB	upper_right	216	1516	0.43743765354156494	0.03420023150434415
1	hV4	lower_left	120	736	0.2981377840042114	0.03633195301061181
1	hV4	lower_right	168	736	0.2470531016588211	0.0302642828527732
1	hV4	no_distractor	144	736	0.2927080988883972	0.033971590300401054
1	hV4	upper_left	72	736	0.29587268829345703	0.04990639591087608
1	hV4	upper_right	216	736	0.257729709148407	0.02851238467687815
1	LO	lower_left	120	1080	0.429985910654068	0.04892949670204206
1	LO	lower_right	168	1080	0.35543882846832275	0.04476776256797049
1	LO	no_distractor	144	1080	0.4185611605644226	0.0465011994043986
1	LO	upper_left	72	1080	0.41671523451805115	0.06958753766037686
1	LO	upper_right	216	1080	0.3574153184890747	0.03996183112534306
1	TO	lower_left	120	934	0.1874575912952423	0.04216515144122429
1	TO	lower_right	168	934	0.16402509808540344	0.037106776213495105
1	TO	no_distractor	144	934	0.20979240536689758	0.03849965830643972
1	TO	upper_left	72	934	0.1904633343219757	0.06077010085053399
1	TO	upper_right	216	934	0.18172667920589447	0.032214407476465985
1	VO	lower_left	120	724	0.5312775373458862	0.0428493387681488
1	VO	lower_right	168	724	0.4850030243396759	0.03536539514938053
1	VO	no_distractor	144	724	0.4971480369567871	0.03907052427530289
1	VO	upper_left	72	724	0.5718580484390259	0.055587134301755305
1	VO	upper_right	216	724	0.5357157588005066	0.029402256509063043
2	V1	lower_left	120	1617	0.16762495040893555	0.026027697983384415
