subject	roi	distractor	n_trials	n_voxels	mean_beta	sem_beta
2	V1	lower_right	72	1617	0.14723142981529236	0.03548465050769113
2	V1	no_distractor	144	1617	0.14907385408878326	0.023772574961185455
2	V1	upper_left	168	1617	0.11923378705978394	0.02470439600722944
2	V1	upper_right	216	1617	0.18219365179538727	0.02135915454275135
2	V2	lower_left	120	1460	0.11555778235197067	0.019382995113927468
2	V2	lower_right	72	1460	0.11059007048606873	0.027670728404773963
2	V2	no_distractor	144	1460	0.12435664236545563	0.017004777987798054
2	V2	upper_left	168	1460	0.09167175740003586	0.017863059193950075
2	V2	upper_right	216	1460	0.1246982142329216	0.01551718645944767
2	V3	lower_left	120	1438	0.04435240849852562	0.017146317375904933
2	V3	lower_right	72	1438	0.03804340586066246	0.02280803927006694
2	V3	no_distractor	144	1438	0.025579117238521576	0.015637536843617756
2	V3	upper_left	168	1438	-0.0010680302511900663	0.015184357359083123
2	V3	upper_right	216	1438	0.034328654408454895	0.013219395881365559
2	V3AB	lower_left	120	1454	-0.01438719592988491	0.016792768763518814
2	V3AB	lower_right	72	1454	-0.08835576474666595	0.025220784784396332
2	V3AB	no_distractor	144	1454	-0.028281714767217636	0.01576508829991023
2	V3AB	upper_left	168	1454	-0.026940617710351944	0.014984163135517896
2	V3AB	upper_right	216	1454	-0.028952620923519135	0.01332816153155724
2	hV4	lower_left	120	769	0.03700164332985878	0.02035336572423246
2	hV4	lower_right	72	769	-0.010145486332476139	0.027393173846142847
2	hV4	no_distractor	144	769	0.026262832805514336	0.017594635486602783
2	hV4	upper_left	168	769	0.01675453782081604	0.017395393255430543
2	hV4	upper_right	216	769	-0.004568788688629866	0.013313915284520715
2	LO	lower_left	120	957	0.007814816199243069	0.03289651847245873
2	LO	lower_right	72	957	-0.028992192819714546	0.04387302537521834
2	LO	no_distractor	144	957	0.02830185554921627	0.028021601339181263
2	LO	upper_left	168	957	-0.03021990694105625	0.028252812321689746
2	LO	upper_right	216	957	-0.006411236245185137	0.02368164260368612
2	TO	lower_left	120	812	0.03180504962801933	0.01372333759518528
2	TO	lower_right	72	812	0.003934434615075588	0.02270080539462441
2	TO	no_distractor	144	812	0.061982352286577225	0.013441402465105057
2	TO	upper_left	168	812	0.027449075132608414	0.014045470832858013
2	TO	upper_right	216	812	0.032282620668411255	0.010575602277880854
2	VO	lower_left	120	611	0.054129306226968765	0.016751242023137897
2	VO	lower_right	72	611	0.016277141869068146	0.02635598731949432
2	VO	no_distractor	144	611	0.030928751453757286	0.01584234709541003
2	VO	upper_left	168	611	0.03591923043131828	0.01715707895224332
2	VO	upper_right	216	611	0.033648960292339325	0.013230649108599094
3	V1	lower_left	144	1668	0.015262303873896599	0.030352150400479633
3	V1	lower_right	144	1668	0.03155876696109772	0.03294063111146291
3	V1	no_distractor	144	1668	0.026502758264541626	0.03314778953790665
3	V1	upper_left	144	1668	-0.08633963763713837	0.03220508247613907
3	V1	upper_right	144	1668	-0.011312568560242653	0.0348277340332667
3	V2	lower_left	144	1488	0.038504116237163544	0.022806279361248016
3	V2	lower_right	144	1488	0.05778898298740387	0.026027125616868336
3	V2	no_distractor	144	1488	0.06995165348052979	0.022685440878073376
3	V2	upper_left	144	1488	-0.023815296590328217	0.02442667881647746
3	V2	upper_right	144	1488	0.010147602297365665	0.02862178534269333
3	V3	lower_left	144	1342	0.18613028526306152	0.02764223764340083
3	V3	lower_right	144	1342	0.20095834136009216	0.03416417787472407
3	V3	no_distractor	144	1342	0.24981355667114258	0.031445796291033425
3	V3	upper_left	144	1342	0.13095051050186157	0.02954106032848358
3	V3	upper_right	144	1342	0.15744537115097046	0.03461060424645742
3	V3AB	lower_left	144	1243	0.271430104970932	0.02603400746981303
3	V3AB	lower_right	144	1243	0.23262745141983032	0.029787984987099964
3	V3AB	no_distractor	144	1243	0.26615530252456665	0.027438466747601826
3	V3AB	upper_left	144	1243	0.22829389572143555	0.02826436112324397
3	V3AB	upper_right	144	1243	0.26005473732948303	0.028959016005198162
3	hV4	lower_left	144	593	0.5414291024208069	0.026823098460833233
3	hV4	lower_right	144	593	0.5559666752815247	0.030089102685451508
3	hV4	no_distractor	144	593	0.5698387622833252	0.03190693259239197
3	hV4	upper_left	144	593	0.541545033454895	0.028615273535251617
3	hV4	upper_right	144	593	0.5687403082847595	0.031682804226875305
3	LO	lower_left	144	844	0.16809765994548798	0.044360016783078514
3	LO	lower_right	144	844	0.1576540768146515	0.049534574151039124
3	LO	no_distractor	144	844	0.23464271426200867	0.049390703439712524
3	LO	upper_left	144	844	0.10616369545459747	0.04244631032148997
3	LO	upper_right	144	844	0.135300874710083	0.045335556070009865
3	TO	lower_left	144	850	0.17079681158065796	0.02967984229326248
3	TO	lower_right	144	850	0.14795991778373718	0.03302454948425293
3	TO	no_distractor	144	850	0.19277885556221008	0.03381634255250295
3	TO	upper_left	144	850	0.13759568333625793	0.030320982138315838
3	TO	upper_right	144	850	0.14950960874557495	0.032929256558418274
3	VO	lower_left	144	558	0.5369384288787842	0.030716458956400555
3	VO	lower_right	144	558	0.5099837779998779	0.03980118532975515
3	VO	no_distractor	144	558	0.5437366962432861	0.04022995134194692
3	VO	upper_left	144	558	0.5102576017379761	0.03847831984361013
3	VO	upper_right	144	558	0.5158378481864929	0.041083248953024544
4	V1	lower_left	144	2734	0.13147851824760437	0.03367950270573298
4	V1	lower_right	144	2734	0.2020447701215744	0.040589978297551475
4	V1	no_distractor	144	2734	0.13467925786972046	0.04237040877342224
4	V1	upper_left	144	2734	0.13714934885501862	0.047401840488115944
4	V1	upper_right	144	2734	0.17915566265583038	0.03586783756812414
4	V2	lower_left	144	2268	0.01153964176774025	0.026287148396174114
4	V2	lower_right	144	2268	0.05204656347632408	0.02960835148890813
4	V2	no_distractor	144	2268	0.006065333727747202	0.029934386412302654
4	V2	upper_left	144	2268	0.012974386103451252	0.031190291047096252
4	V2	upper_right	144	2268	-0.0016002522315829992	0.026598962644735973
4	V3	lower_left	144	1763	-0.013519895263016224	0.02332967271407445
4	V3	lower_right	144	1763	0.011859269812703133	0.028038586179415386
4	V3	no_distractor	144	1763	-0.004392582457512617	0.029770009219646454
4	V3	upper_left	144	1763	-0.0275742094963789	0.029094758133093517
4	V3	upper_right	144	1763	-0.028676874935626984	0.02568959693113963
4	V3AB	lower_left	144	1504	0.09696894139051437	0.027150521675745647
4	V3AB	lower_right	144	1504	0.0866750106215477	0.02893841763337453
4	V3AB	no_distractor	144	1504	0.044610925018787384	0.031747606893380485
4	V3AB	upper_left	144	1504	0.06804636865854263	0.032127601404984794
4	V3AB	upper_right	144	1504	0.05029771476984024	0.026575555404027302
4	hV4	lower_left	144	990	0.335165798664093	0.027371704578399658
4	hV4	lower_right	144	990	0.3311115503311157	0.031062118709087372
4	hV4	no_distractor	144	990	0.34246522188186646	0.03243447343508402
4	hV4	upper_left	144	990	0.32396605610847473	0.034886601070562996
4	hV4	upper_right	144	990	0.2858313024044037	0.03056679666042328
4	LO	lower_left	144	1065	0.17477472126483917	0.03154084583123525
4	LO	lower_right	144	1065	0.14122170209884644	0.03464852770169576
4	LO	no_distractor	144	1065	0.14330138266086578	0.03790595382452011
4	LO	upper_left	144	1065	0.14365921914577484	0.03825680911540985
4	LO	upper_right	144	1065	0.11016526073217392	0.032999105751514435
4	TO	lower_left	144	979	0.20141541957855225	0.03155086934566498
4	TO	lower_right	144	979	0.1488090604543686	0.029437710841496784
4	TO	no_distractor	144	979	0.2322271168231964	0.03519759327173233
4	TO	upper_left	144	979	0.18617285788059235	0.033714967469374336
4	TO	upper_right	144	979	0.17172883450984955	0.031063924233118694
4	VO	lower_left	144	845	0.653571367263794	0.03401947766542435
4	VO	lower_right	144	845	0.682435154914856	0.03834893306096395
4	VO	no_distractor	144	845	0.6572783589363098	0.04300763209660848
4	VO	upper_left	144	845	0.6578578948974609	0.04189703861872355
4	VO	upper_right	144	845	0.6332894563674927	0.03554857522249222
5	V1	lower_left	144	2097	-0.030832387506961823	0.043793742855389915
5	V1	lower_right	144	2097	-0.03460521623492241	0.040268078446388245
5	V1	no_distractor	144	2097	-0.000848298252094537	0.04103114455938339
5	V1	upper_left	144	2097	-0.043732091784477234	0.032732345163822174
5	V1	upper_right	144	2097	0.04441643878817558	0.03915888319412867
5	V2	lower_left	144	1726	-0.11373620480298996	0.042341490586598717
5	V2	lower_right	144	1726	-0.11153478175401688	0.03871895372867584
5	V2	no_distractor	144	1726	-0.08563228696584702	0.043082088232040405
5	V2	upper_left	144	1726	-0.13278770446777344	0.032439048091570534
5	V2	upper_right	144	1726	-0.02010597661137581	0.038262851536273956
5	V3	lower_left	144	1293	-0.03715132921934128	0.043421020110448204
5	V3	lower_right	144	1293	-0.028730634599924088	0.0430775930484136
5	V3	no_distractor	144	1293	0.005226155277341604	0.045105824867884316
5	V3	upper_left	144	1293	-0.052396733313798904	0.03824196010828018
5	V3	upper_right	144	1293	0.06590422987937927	0.04148531456788381
5	V3AB	lower_left	144	1496	0.4086110591888428	0.04433121780554453
5	V3AB	lower_right	144	1496	0.3248589336872101	0.04903094470500946
5	V3AB	no_distractor	144	1496	0.37617018818855286	0.04444386065006256
5	V3AB	upper_left	144	1496	0.31434640288352966	0.037409799794356026
5	V3AB	upper_right	144	1496	0.4324513375759125	0.04221607247988383
5	hV4	lower_left	144	613	0.618550181388855	0.05872824788093567
5	hV4	lower_right	144	613	0.6280907392501831	0.06025748451550802
5	hV4	no_distractor	144	613	0.6978189945220947	0.06269465883572896
5	hV4	upper_left	144	613	0.5967085361480713	0.0602874755859375
5	hV4	upper_right	144	613	0.6710941791534424	0.06361815830071767
5	LO	lower_left	144	1166	0.20396868884563446	0.043410688638687134
5	LO	lower_right	144	1166	0.14036549627780914	0.044116621216138206
5	LO	no_distractor	144	1166	0.1883050799369812	0.04262146850426992
5	LO	upper_left	144	1166	0.16920813918113708	0.04107671479384104
5	LO	upper_right	144	1166	0.2542915344238281	0.04322068393230438
5	TO	lower_left	144	895	0.42787033319473267	0.05447334051132202
5	TO	lower_right	144	895	0.29568761587142944	0.05687675873438517
5	TO	no_distractor	144	895	0.37934350967407227	0.04710511863231659
5	TO	upper_left	144	895	0.32597291469573975	0.049031153321266174
5	TO	upper_right	144	895	0.4063083231449127	0.04938081403573354
5	VO	lower_left	144	649	1.0409303903579712	0.05360262095928192
5	VO	lower_right	144	649	0.9950964450836182	0.055225501457850136
5	VO	no_distractor	144	649	1.058856725692749	0.04737251500288645
5	VO	upper_left	144	649	1.025876760482788	0.04889558255672455
5	VO	upper_right	144	649	1.0912160873413086	0.04760869344075521
6	V1	lower_left	144	2134	0.2784523367881775	0.03818588455518087
6	V1	lower_right	144	2134	0.3297114968299866	0.03585007538398107
6	V1	no_distractor	144	2134	0.2956821620464325	0.039316986997922264
6	V1	upper_left	144	2134	0.3273822069168091	0.03930251797040304
6	V1	upper_right	144	2134	0.278342604637146	0.03427906334400177
6	V2	lower_left	144	1929	0.13791781663894653	0.026804362734158833
6	V2	lower_right	144	1929	0.18840360641479492	0.02555340776840846
6	V2	no_distractor	144	1929	0.18215759098529816	0.02866768588622411
6	V2	upper_left	144	1929	0.150407612323761	0.029769438008467358
6	V2	upper_right	144	1929	0.11868754774332047	0.028242630263169605
6	V3	lower_left	144	1695	0.04464313015341759	0.026541675130526226
6	V3	lower_right	144	1695	0.05177962779998779	0.02383535106976827
6	V3	no_distractor	144	1695	0.09683406352996826	0.02853570133447647
6	V3	upper_left	144	1695	0.0332675464451313	0.0251532644033432
6	V3	upper_right	144	1695	-0.002844212343916297	0.0256737619638443
6	V3AB	lower_left	144	1344	-0.01538411807268858	0.024883848925431568
6	V3AB	lower_right	144	1344	-0.023374957963824272	0.023660019040107727
6	V3AB	no_distractor	144	1344	-0.02599193900823593	0.02324196696281433
6	V3AB	upper_left	144	1344	-0.030925104394555092	0.02634238948424657
6	V3AB	upper_right	144	1344	-0.040774837136268616	0.02711151788632075
6	hV4	lower_left	144	806	0.3466298580169678	0.03793925295273463
6	hV4	lower_right	144	806	0.35741376876831055	0.03587650259335836
6	hV4	no_distractor	144	806	0.360973596572876	0.04269483188788096
6	hV4	upper_left	144	806	0.3018287420272827	0.03813988963762919
6	hV4	upper_right	144	806	0.26053106784820557	0.03704720735549927
6	LO	lower_left	144	1046	0.07505544275045395	0.03595048189163208
6	LO	lower_right	144	1046	0.09699695557355881	0.03073231875896454
6	LO	no_distractor	144	1046	0.17256395518779755	0.0356402521332105
6	LO	upper_left	144	1046	0.03442981839179993	0.032054439187049866
6	LO	upper_right	144	1046	0.03660641238093376	0.031040045122305553
6	TO	lower_left	144	914	0.09555309265851974	0.029144056141376495
6	TO	lower_right	144	914	0.07581271976232529	0.025238148868083954
6	TO	no_distractor	144	914	0.1397119164466858	0.0271052544315656
6	TO	upper_left	144	914	0.04633886739611626	0.027119241654872894
6	TO	upper_right	144	914	0.0674717053771019	0.025880975027879078
6	VO	lower_left	144	404	0.16590391099452972	0.03115100661913554
6	VO	lower_right	144	404	0.18018466234207153	0.029491869111855824
6	VO	no_distractor	144	404	0.13947871327400208	0.03218759596347809
6	VO	upper_left	144	404	0.15727323293685913	0.034675389528274536
6	VO	upper_right	144	404	0.09579593688249588	0.032801516354084015
7	V1	lower_left	144	2375	0.11536494642496109	0.0610676904519399
7	V1	lower_right	144	2375	0.2421807199716568	0.08786783615748088
7	V1	no_distractor	144	2375	0.09528016299009323	0.07975260416666667
7	V1	upper_left	144	2375	0.006435566581785679	0.08245405554771423
7	V1	upper_right	144	2375	0.20032918453216553	0.06444501380125682
7	V2	lower_left	144	2227	0.0006288894219323993	0.04107299695412318
7	V2	lower_right	144	2227	0.04699643328785896	0.045964365204175316
7	V2	no_distractor	144	2227	-0.011975479312241077	0.04271842539310455
7	V2	upper_left	144	2227	-0.04481055960059166	0.0489116907119751
7	V2	upper_right	144	2227	0.041092436760663986	0.04638507465521494
7	V3	lower_left	144	1790	0.2963806390762329	0.052316248416900635
7	V3	lower_right	144	1790	0.3841404318809509	0.05988165239493052
7	V3	no_distractor	144	1790	0.2579280734062195	0.0522131472826004
7	V3	upper_left	144	1790	0.2958812713623047	0.06594353914260864
7	V3	upper_right	144	1790	0.229575052857399	0.04578189551830292
7	V3AB	lower_left	144	1640	0.15114672482013702	0.057756771643956505
7	V3AB	lower_right	144	1640	0.13176435232162476	0.054073765873909
7	V3AB	no_distractor	144	1640	0.060786858201026917	0.04953304926554362
7	V3AB	upper_left	144	1640	0.07937008142471313	0.04225135842959086
7	V3AB	upper_right	144	1640	0.15209750831127167	0.03893898179133733
7	hV4	lower_left	144	838	1.0684833526611328	0.11867064237594604
7	hV4	lower_right	144	838	1.0748778581619263	0.1816938320795695
7	hV4	no_distractor	144	838	1.0098230838775635	0.1314764122168223
7	hV4	upper_left	144	838	1.0691038370132446	0.16031241416931152
7	hV4	upper_right	144	838	0.752796471118927	0.10142725706100464
7	LO	lower_left	144	1391	0.2454269677400589	0.05513790746529897
7	LO	lower_right	144	1391	0.3320329189300537	0.06664301455020905
7	LO	no_distractor	144	1391	0.3462376594543457	0.06390673418839772
7	LO	upper_left	144	1391	0.3332003057003021	0.07191538314024608
7	LO	upper_right	144	1391	0.22303730249404907	0.04961019257704417
7	TO	lower_left	144	1123	0.34102413058280945	0.03165176510810852
7	TO	lower_right	144	1123	0.3512190282344818	0.03926156212886175
7	TO	no_distractor	144	1123	0.2608911991119385	0.032322585582733154
7	TO	upper_left	144	1123	0.2890787124633789	0.038436003029346466
7	TO	upper_right	144	1123	0.293888121843338	0.031121375660101574
7	VO	lower_left	144	690	0.3599913716316223	0.0364844004313151
7	VO	lower_right	144	690	0.48773181438446045	0.04487540821234385
7	VO	no_distractor	144	690	0.3894934058189392	0.03244076669216156
7	VO	upper_left	144	690	0.4619947671890259	0.04004198561112086
7	VO	upper_right	144	690	0.39917469024658203	0.03493625670671463
9	V1	lower_left	144	2327	0.22537238895893097	0.04704126218954722
9	V1	lower_right	144	2327	0.2140391618013382	0.03935148815313975
9	V1	no_distractor	144	2327	0.2108178436756134	0.042753055691719055
9	V1	upper_left	144	2327	0.22332069277763367	0.044420093297958374
9	V1	upper_right	144	2327	0.2532569169998169	0.045026302337646484
9	V2	lower_left	144	2092	-0.0910324901342392	0.0361500084400177
9	V2	lower_right	144	2092	-0.058139827102422714	0.029810398817062378
9	V2	no_distractor	144	2092	-0.12479279935359955	0.03349425892035166
9	V2	upper_left	144	2092	-0.04345669224858284	0.03390261779228846
9	V2	upper_right	144	2092	-0.07515234500169754	0.03272674232721329
9	V3	lower_left	144	1916	-0.08047230541706085	0.03125918904940287
9	V3	lower_right	144	1916	-0.08692344278097153	0.026587769389152527
9	V3	no_distractor	144	1916	-0.12707315385341644	0.027956128120422363
9	V3	upper_left	144	1916	-0.08195764571428299	0.03029477596282959
9	V3	upper_right	144	1916	-0.11067834496498108	0.02740125109752019
9	V3AB	lower_left	144	1634	0.2680661678314209	0.032434187829494476
9	V3AB	lower_right	144	1634	0.1708652675151825	0.027233255406220753
9	V3AB	no_distractor	144	1634	0.17032961547374725	0.030098994572957356
9	V3AB	upper_left	144	1634	0.1924133002758026	0.0341098482410113
9	V3AB	upper_right	144	1634	0.15935832262039185	0.026242494583129883
9	hV4	lower_left	144	763	0.038931310176849365	0.04694912830988566
9	hV4	lower_right	144	763	-0.02359212189912796	0.037730750938256584
9	hV4	no_distractor	144	763	-0.0026920835953205824	0.044710506995519005
9	hV4	upper_left	144	763	-0.06137682497501373	0.0476672500371933
9	hV4	upper_right	144	763	-0.060500726103782654	0.04125994195540746
9	LO	lower_left	144	1279	0.1024961769580841	0.06137023866176605
9	LO	lower_right	144	1279	0.04132896289229393	0.06607694923877716
9	LO	no_distractor	144	1279	0.1036100685596466	0.06320204337437947
9	LO	upper_left	144	1279	0.01614277809858322	0.06434915959835052
9	LO	upper_right	144	1279	0.033573348075151443	0.062185789148012795
9	TO	lower_left	144	946	0.012574048712849617	0.03538417567809423
9	TO	lower_right	144	946	-0.017796054482460022	0.03213330606619517
9	TO	no_distractor	144	946	0.024970293045043945	0.03304669757684072
9	TO	upper_left	144	946	-0.03415165841579437	0.03892014672358831
9	TO	upper_right	144	946	-0.02530939131975174	0.030458832780520122
9	VO	lower_left	144	783	0.029705680906772614	0.036771093805631004
9	VO	lower_right	144	783	-0.10600204020738602	0.025825917720794678
9	VO	no_distractor	144	783	-0.10404267907142639	0.032252068320910134
9	VO	upper_left	144	783	-0.11724996566772461	0.036520215372244515
9	VO	upper_right	144	783	-0.1169377937912941	0.03178165853023529
10	V1	lower_left	144	2369	0.1202959343791008	0.03365017225344976
10	V1	lower_right	144	2369	0.09190643578767776	0.030439856151739757
10	V1	no_distractor	144	2369	0.12128738313913345	0.031994760036468506
10	V1	upper_left	144	2369	0.13250046968460083	0.03137793888648351
10	V1	upper_right	144	2369	0.05080422759056091	0.03198651224374771
10	V2	lower_left	144	1809	-0.09751509875059128	0.03627095619837443
10	V2	lower_right	144	1809	-0.14408326148986816	0.0336675097544988
10	V2	no_distractor	144	1809	-0.1222311407327652	0.03557747354110082
10	V2	upper_left	144	1809	-0.15369288623332977	0.03689029316107432
10	V2	upper_right	144	1809	-0.19598007202148438	0.03559149553378423
10	V3	lower_left	144	1462	0.06338058412075043	0.029903958241144817
10	V3	lower_right	144	1462	0.015302310697734356	0.02534622699022293
10	V3	no_distractor	144	1462	0.04869062080979347	0.02880645791689555
10	V3	upper_left	144	1462	0.03799080476164818	0.029544952015082043
10	V3	upper_right	144	1462	-0.03662833198904991	0.03181671847899755
10	V3AB	lower_left	144	1361	0.2751196622848511	0.028464749455451965
10	V3AB	lower_right	144	1361	0.29213210940361023	0.027786709368228912
10	V3AB	no_distractor	144	1361	0.2899268865585327	0.0304143230120341
10	V3AB	upper_left	144	1361	0.2787896394729614	0.02871572474638621
10	V3AB	upper_right	144	1361	0.2673035264015198	0.024339934190114338
10	hV4	lower_left	144	816	0.44212326407432556	0.034858268996079765
10	hV4	lower_right	144	816	0.45297208428382874	0.032962185641129814
10	hV4	no_distractor	144	816	0.4273078739643097	0.03680801888306936
10	hV4	upper_left	144	816	0.43267714977264404	0.03754912813504537
10	hV4	upper_right	144	816	0.3792147636413574	0.03537746767203013
10	LO	lower_left	144	1133	0.442821204662323	0.03667048364877701
10	LO	lower_right	144	1133	0.44922176003456116	0.03630699465672175
10	LO	no_distractor	144	1133	0.42497190833091736	0.03993254403273264
10	LO	upper_left	144	1133	0.4176842272281647	0.03821191440025965
10	LO	upper_right	144	1133	0.36988818645477295	0.03617819398641586
10	TO	lower_left	144	1196	0.2794564962387085	0.02791580557823181
10	TO	lower_right	144	1196	0.3053497076034546	0.026700899004936218
10	TO	no_distractor	144	1196	0.32330912351608276	0.02909078449010849
10	TO	upper_left	144	1196	0.2743304669857025	0.030300455788771313
10	TO	upper_right	144	1196	0.2913631796836853	0.02484158178170522
10	VO	lower_left	144	837	0.5298004746437073	0.03471738348404566
10	VO	lower_right	144	837	0.5338068604469299	0.02989267309506734
10	VO	no_distractor	144	837	0.5048224329948425	0.03577770541111628
10	VO	upper_left	144	837	0.5040570497512817	0.037305874129136406
10	VO	upper_right	144	837	0.44255930185317993	0.03461717069149017
11	V1	lower_left	144	1842	0.6773170828819275	0.03344639639059702
11	V1	lower_right	144	1842	0.5952575206756592	0.035338652630647026
11	V1	no_distractor	144	1842	0.6987446546554565	0.031899978717168175
11	V1	upper_left	144	1842	0.6113055348396301	0.029533738891283672
11	V1	upper_right	144	1842	0.6997795104980469	0.034806519746780396
11	V2	lower_left	144	1493	0.26426994800567627	0.018366371591885883
11	V2	lower_right	144	1493	0.20605523884296417	0.018584949274857838
11	V2	no_distractor	144	1493	0.24138996005058289	0.0177552526195844
11	V2	upper_left	144	1493	0.23618824779987335	0.018710702657699585
11	V2	upper_right	144	1493	0.2559017837047577	0.019084076086680096
11	V3	lower_left	144	1159	0.20639772713184357	0.025439202785491943
11	V3	lower_right	144	1159	0.14483514428138733	0.022443840901056927
11	V3	no_distractor	144	1159	0.18063372373580933	0.02411512037118276
11	V3	upper_left	144	1159	0.1849069446325302	0.026044651865959167
11	V3	upper_right	144	1159	0.2046739161014557	0.02449299395084381
11	V3AB	lower_left	144	926	0.5337790250778198	0.02744837353626887
11	V3AB	lower_right	144	926	0.49586358666419983	0.02684479703505834
11	V3AB	no_distractor	144	926	0.48722732067108154	0.026355745891729992
11	V3AB	upper_left	144	926	0.5138669610023499	0.028149954974651337
11	V3AB	upper_right	144	926	0.5264870524406433	0.026533665756384533
11	hV4	lower_left	144	558	0.3780940771102905	0.04097933073838552
11	hV4	lower_right	144	558	0.25225040316581726	0.03228203703959783
11	hV4	no_distractor	144	558	0.29009535908699036	0.03524106244246165
11	hV4	upper_left	144	558	0.30519723892211914	0.042460471391677856
11	hV4	upper_right	144	558	0.3681453466415405	0.036085245509942375
11	LO	lower_left	144	758	0.396989643573761	0.050507545471191406
11	LO	lower_right	144	758	0.3760780096054077	0.04561099410057068
11	LO	no_distractor	144	758	0.3902412950992584	0.05293678740660349
11	LO	upper_left	144	758	0.4724065065383911	0.053730045755704246
11	LO	upper_right	144	758	0.41677188873291016	0.04921260476112366
11	TO	lower_left	144	653	0.5747883319854736	0.029601693153381348
11	TO	lower_right	144	653	0.5662577748298645	0.0274986798564593
11	TO	no_distractor	144	653	0.5559108257293701	0.02981368949015935
11	TO	upper_left	144	653	0.5488801002502441	0.032374064127604164
11	TO	upper_right	144	653	0.574589192867279	0.03091806670029958
11	VO	lower_left	144	483	0.2764020264148712	0.03322808196147283
11	VO	lower_right	144	483	0.20829366147518158	0.029698361953099568
11	VO	no_distractor	144	483	0.23075741529464722	0.028984415034453075
11	VO	upper_left	144	483	0.22331444919109344	0.03281176338593165
11	VO	upper_right	144	483	0.26858821511268616	0.028414808213710785
12	V1	lower_left	144	2041	0.2586991786956787	0.035511198143164315
12	V1	lower_right	144	2041	0.2022516131401062	0.0414838840564092
12	V1	no_distractor	144	2041	0.11953257024288177	0.038905066748460136
12	V1	upper_left	144	2041	0.1777528077363968	0.04032933463652929
12	V1	upper_right	144	2041	0.21679146587848663	0.04277936120827993
12	V2	lower_left	144	1716	0.22608447074890137	0.028077376385529835
12	V2	lower_right	144	1716	0.16885162889957428	0.03556166589260101
12	V2	no_distractor	144	1716	0.16415797173976898	0.034983955323696136
12	V2	upper_left	144	1716	0.20008185505867004	0.02958781768878301
12	V2	upper_right	144	1716	0.2045719474554062	0.035531299809614815
12	V3	lower_left	144	1392	0.02747320756316185	0.032139199475447335
12	V3	lower_right	144	1392	-0.00829799473285675	0.03830398122469584
12	V3	no_distractor	144	1392	-0.022028086706995964	0.03596236308415731
12	V3	upper_left	144	1392	0.01298078428953886	0.03159791727860769
12	V3	upper_right	144	1392	0.06790322810411453	0.03538010517756144
12	V3AB	lower_left	144	1660	0.1537632942199707	0.019114335378011067
12	V3AB	lower_right	144	1660	0.131735697388649	0.02382625639438629
12	V3AB	no_distractor	144	1660	0.09787699580192566	0.022566092511018116
