filter	kept_phantom	phantom_drop_pct	kept_signal	signal_drop_pct	kept_total
r2 < 0.999	0	100.0	7570	0.0	287377
sd > 0.05	0	100.0	7524	0.607661822985469	225115
sd > 0.05 AND r2 < 0.999	0	100.0	7524	0.607661822985469	225115
amplitude > 1e-4	1111	0.0	7570	0.0	288488
sd > 0.1 (broader)	0	100.0	6351	16.10303830911493	211202
(sd > 0.05) OR (srf_size > 0.5)	0	100.0	7570	0.0	287377
(sd > 0.1) AND (amplitude != 0)	0	100.0	6351	16.10303830911493	211202
