subject	roi	sigma_AF	sigma_dyn	g_HP	g_LP	g_HP_dyn	g_LP_dyn	diff_sigma	log_ratio_sigma
1	LO	2.63923978805542	7.021786212921143	-0.09382671117782593	0.16307060420513153	0.29383987188339233	0.7009732127189636	4.382546424865723	0.9785267153366828
1	TO	0.8843820095062256	0.4100151062011719	4.770124912261963	5.5501885414123535	-8.277541160583496	-6.5134735107421875	-0.4743669033050537	-0.76869510333091
1	V1	1.8240262269973755	0.4072692096233368	1.2144027948379517	1.1342411041259766	-5.561487197875977	-5.4073262214660645	-1.4167570173740387	-1.4993271338793792
1	V2	1.2454278469085693	0.4241786301136017	2.9736509323120117	3.1581315994262695	-9.285313606262207	-9.332490921020508	-0.8212492167949677	-1.0770797380504848
1	V3AB	3.725029945373535	0.5056934356689453	2.514981269836426	1.8814629316329956	-9.786138534545898	-5.672281265258789	-3.21933650970459	-1.9968995424884428
1	V3	1.681470513343811	0.31581181287765503	0.5417960286140442	0.7231158018112183	-2.7593674659729004	-2.7762293815612793	-1.365658700466156	-1.6722774877815967
1	VO	1.0248608589172363	7.94152307510376	4.706795692443848	6.031464576721191	3.01334547996521	6.811763763427734	6.916662216186523	2.047548223946239
1	hV4	1.0441248416900635	0.8729379773139954	4.000662803649902	3.509903907775879	-6.747975826263428	-0.31241437792778015	-0.17118686437606812	-0.17906983359992926
2	LO	0.6101856827735901	4.424653053283691	-0.1871298849582672	1.6813359260559082	0.9203324317932129	0.47936806082725525	3.8144673705101013	1.9811838394933516
2	TO	0.8083524107933044	7.252286911010742	1.4517332315444946	3.544543743133545	1.3130730390548706	0.6123459339141846	6.443934500217438	2.1940740187043435
2	V1	2.0392990112304688	0.32249557971954346	0.34752121567726135	0.3604986071586609	-3.6856882572174072	-3.6892240047454834	-1.7168034315109253	-1.8442719759949588
2	V2	3.2945497035980225	0.3526530861854553	0.09374020248651505	0.10611671954393387	-3.120866060256958	-4.03688907623291	-2.941896617412567	-2.234539962053242
2	V3AB	2.075476884841919	0.6274183988571167	3.5381991863250732	2.813190221786499	-9.752355575561523	-6.397876262664795	-1.4480584859848022	-1.1963326093916826
2	V3	1.961431622505188	0.28512826561927795	0.37662550806999207	0.48798227310180664	-3.529818296432495	-3.895456552505493	-1.67630335688591	-1.9284907714146158
2	VO	0.5698451995849609	7.602633476257324	3.0339622497558594	5.100322723388672	2.1901750564575195	1.6803876161575317	7.032788276672363	2.5908852320188935
2	hV4	1.390742301940918	1.8347063064575195	1.7367870807647705	2.7337193489074707	5.307511806488037	2.6306140422821045	0.44396400451660156	0.2770467829476249
3	TO	2.91324520111084	1.9498673677444458	0.18863414227962494	-0.007505675777792931	-1.522591233253479	0.5333641171455383	-0.963377833366394	-0.4015062954856857
3	V1	1.4775446653366089	0.4228026568889618	0.40751326084136963	0.419791042804718	-5.516884803771973	-3.1075966358184814	-1.054742008447647	-1.2512314411607048
3	V2	1.2761249542236328	0.9639884233474731	0.7782126665115356	1.0774943828582764	0.8951444625854492	-1.840664267539978	-0.31213653087615967	-0.28050410005501
3	V3	0.9798110723495483	0.3566257953643799	0.997252345085144	1.1528077125549316	-3.267956018447876	-4.7473978996276855	-0.6231852769851685	-1.0106727299774287
3	VO	4.052165508270264	1.5333166122436523	0.2698844075202942	-0.0386824794113636	-1.5895428657531738	1.7607194185256958	-2.5188488960266113	-0.9718183219119407
4	LO	2.615187406539917	0.6594388484954834	-0.13085484504699707	0.13130997121334076	6.524540901184082	7.165867805480957	-1.9557485580444336	-1.3777017960939648
